DATE,ITEM,NAME,SPEC,AC_CODE,WC_CODE,LOC,VD_CODE,VD_NAME,UP,CUR,ORDER_BAL,UNIT,BEGIN_QTY,RECEIVE_QTY,ISSUE_QTY,STOCK_QTY,LAST_ISSUED_DATE,LAST_STOCK_IN_DATE,STOCK_AGE,GROUP_AGE
2025-01-01,SKU-0058,STEEL PIPE,STE-0058,4520AF,TN19,3,SUM330,Sumitomo Metal Solutions,0.0,BT,0,KGS,0,0,0,0,2026-04-29,2026-04-28,4,3-6 months
2025-01-01,SKU-0059,STEEL PIPE,STE-0059,4520AF,TN19,3,SUM330,Sumitomo Metal Solutions,0.0,BT,3900,KGS,0,0,0,0,2026-07-06,2026-06-23,2,0-3 months
2025-01-01,SKU-0060,STEEL PIPE,STE-0060,4520AF,TN19,3,SUM330,Sumitomo Metal Solutions,0.0,BT,0,KGS,0,0,0,0,2023-01-24,2025-03-26,17,12-24 months
2025-01-01,SKU-0061,STEEL PIPE,STE-0061,4520AF,TN19,3,SUM330,Sumitomo Metal Solutions,0.0,BT,0,KGS,0,0,0,0,2026-06-06,2025-03-26,17,12-24 months
2025-01-01,SKU-0062,STEEL PIPE,STE-0062,4520AF,TN19,3,SUM330,Sumitomo Metal Solutions,217.8291857,BT,0,KGS,481,40,0,522,2025-09-25,2025-01-03,20,12-24 months
2025-01-01,SKU-0063,STEEL PIPE,STE-0063,4520AF,TN19,3,SUM330,Sumitomo Metal Solutions,0.0,BT,0,KGS,0,0,0,0,2024-10-09,2025-03-26,17,12-24 months
2025-01-01,SKU-0064,STEEL PIPE,STE-0062,4520AF,TN19,3,SUM330,Sumitomo Metal Solutions,0.0,BT,74,KGS,0,0,0,0,2026-07-02,2026-08-25,0,0-3 months
2025-01-01,SKU-0065,STEEL PIPE,STE-0065,4520AF,TN19,3,MIN471,Minebea HQ,0.0,BT,2320,KGS,0,0,0,0,2026-08-05,2026-08-05,0,0-3 months
2025-01-01,SKU-0066,CERAMIC BALL,CER-0066,4520BL,AS99,B2,MIN471,Minebea HQ,4820.023832,BT,0,KPS,209,0,209,0,2026-08-24,2026-08-18,0,0-3 months
2025-01-01,SKU-0067,CERAMIC BALL,CER-0067,4520BL,AS99,B2,MIN471,Minebea HQ,4805.447256,BT,0,KPS,551,0,367,184,2026-08-24,2026-07-22,1,0-3 months
2025-01-01,SKU-0068,CERAMIC BALL,CER-0068,4520BL,AS99,B2,MIN471,Minebea HQ,4827.655363,BT,687,KPS,307,0,205,102,2026-08-24,2026-07-22,1,0-3 months
2025-01-01,SKU-0069,CERAMIC BALL,CER-0069,4520BL,AS99,B2,MIN471,Minebea HQ,2795.927063,BT,60,KPS,0,70,0,70,2026-08-05,2026-07-22,1,0-3 months
2025-01-01,SKU-0070,CERAMIC BALL,CER-0070,4520BL,AS99,B2,MIN471,Minebea HQ,2830.917625,BT,120,KPS,22,35,44,14,2026-08-05,2026-07-22,1,0-3 months
2025-01-01,SKU-0071,CERAMIC BALL,CER-0071,4520BL,AS99,B2,MIN471,Minebea HQ,2841.336913,BT,60,KPS,39,53,15,77,2026-08-05,2026-05-27,3,0-3 months
2025-01-01,SKU-0072,CERAMIC BALL,CER-0072,4520BL,AS99,B2,MIN471,Minebea HQ,10658.55,BT,0,KPS,0,9,9,0,2025-01-16,2025-01-15,19,12-24 months
2025-01-01,SKU-0073,CERAMIC BALL,CER-0073,4520BL,AS99,B2,MIN471,Minebea HQ,10255.44082,BT,96,KPS,8,8,8,8,2026-08-05,2026-07-22,1,0-3 months
2025-01-01,SKU-0074,CERAMIC BALL,CER-0074,4520BL,AS99,4C,MIN471,Minebea HQ,0.0,BT,72,KPS,0,0,0,0,2026-08-05,2026-07-31,1,0-3 months
