YEAR4,MONTH2,PART_NO,PROCESS,OK_QTY,NG_QTY,TYPE,PROCNAME,SERI,SIZE,AC_PROCESS
2026,4,1SFR-4X3HHMTS2TP93,1120,126382,6158,1,S/F PROD.,1R-4X3,SMALL,1120
2026,2,2SFR-1340X5B18MT-NTP93(S),1120,97398,6216,2,S/F PROD.,2R-1340,SMALL,1120
2026,1,2R-1340X5SD225CVMTTP93(S),1120,334824,6258,2,S/F PROD.,2R-1340,SMALL,1120
2026,1,1SFR-1350X3ZZSD273MTTP93,1120,113988,6258,1,S/F PROD.,1R-1350,SMALL,1120
2026,4,1SF-608ZZS2TP93(SPC),740,11610005,6265,1,FACE GRINDING,1-608,SMALL,740
2026,2,2SFR-1980HHMTTP93(SPC),1120,265580,6265,2,S/F PROD.,2R-1980,SMALL,1120
2026,1,2-608X11H05ATTP93BIG(T),112M,110550,6274,2,SUPER FINISH,2-608,SMALL,1120
2026,2,1SFR-1350X3ZZTP93,230,5440500,6295,1,ROUGH SIDE LAP B,1R-1350,SMALL,Unknown
2026,4,2SFR-2210X6HH-NTP93(T),07B1,489472,6302,2,SIDE LAP (NO OD GRINDING),2R-2210,SMALL,760
2026,1,2SFL-2112HHTP93,760,588651,6399,2,O.D. GRINDING,2L-2112,SMALL,760
2026,3,2SF-608XZZ-NTP93,07B1,1607886,6404,2,SIDE LAP (NO OD GRINDING),2-608,SMALL,760
2026,3,1SFR-1980HHSTP93,1120,218777,6411,1,S/F PROD.,1R-1980,SMALL,1120
2026,6,1AS-1A32E01,1120,157384,6416,1,S/F PROD.,1-1A32,SMALL,1120
2026,7,2-608X11SD101H05AT-BIGSPC,1120,195570,6450,2,S/F PROD.,2-608,SMALL,1120
2026,1,2SF-627XZZ-NTP93(SPC)(S),1120,280800,6450,2,S/F PROD.,2-627,SMALL,1120
2026,6,1SF-608ZZS2TP93(SPC)(W),1120,93208,6450,1,S/F PROD.,1-608,SMALL,1120
2026,5,2SF-608SD48AT-NTP93(TB),1120,44220,6480,2,S/F PROD.,2-608,SMALL,1120
2026,6,2SF-608ZZB83(T),1120,158100,6480,2,S/F PROD.,2-608,SMALL,1120
2026,2,2SFR-1650X9HHMTTP93(S),112M,167832,6493,2,SUPER FINISH,2R-1650,SMALL,1120
2026,5,1SF-608ZZS2TP93,120,37822302,6501,1,COLD FORMING,1-608,SMALL,120
2026,3,2SFL-1910ZZMTTP93,1120,48441,6510,2,S/F PROD.,2L-1910,SMALL,1120
2026,7,1SFR-1340HHMTTP93(SPC),1120,70493,6513,1,S/F PROD.,1R-1340,SMALL,1120
2026,5,2SFR-1560X2ZZMT(S),112M,4343329,6515,2,SUPER FINISH,2R-1560,SMALL,1120
2026,3,1HC-629X2ZZSD141,1120,116833,6535,1,S/F PROD.,1-629,MIDDLE,1120
2026,5,2SF-608ZZ,1120,80550,6554,2,S/F PROD.,2-608,SMALL,1120
2026,4,1SFR-1340HHTP93,09F7,0,6600,1,R/W SORTING,1R-1340,SMALL,Unknown
2026,4,2SF-608ZZTP93(SPC)(T),740,5337054,6609,2,FACE GRINDING,2-608,SMALL,740
2026,4,2R-1980X9CV2-NTP93SPC(T),1120,556255,6615,2,S/F PROD.,2R-1980,SMALL,1120
2026,4,2SF-626XZZ-NTP93(SPC),1120,301420,6615,2,S/F PROD.,2-626,SMALL,1120
2026,6,2SFR-1980HHMTTP93(T),1120,90125,6615,2,S/F PROD.,2R-1980,SMALL,1120
2026,7,2SF-629X2ZZSD25S3-N,1120,142740,6656,2,S/F PROD.,2-629,MIDDLE,1120
2026,1,1SF-626ZZTP93,940,2524805,6707,1,RACE WAY GRINDING (O/R),1-626,SMALL,Unknown
2026,2,1SFR-4X3HHS2TP93(SPC),09F7,41037,6734,1,R/W SORTING,1R-4X3,SMALL,Unknown
2026,6,1HCL-2112HH,551,612678,6737,1,TURNING ACME,1L-2112,SMALL,550
2026,5,1HC-629X2ZZAT(CERAMIC),1120,21001,6753,1,S/F PROD.,1-629,MIDDLE,1120
2026,3,1SFR-1980HHSTP93(SPC),1120,576745,6772,1,S/F PROD.,1R-1980,SMALL,1120
2026,6,2SFL-1680XHHMTTP93,1120,214074,6804,2,S/F PROD.,2L-1680,SMALL,1120
2026,1,2SFL-1680XHHMTTP93(W)(S),1120,35994,6804,2,S/F PROD.,2L-1680,SMALL,1120
2026,5,2SFR-1560X2ZZB18MT(S),1120,194082,6804,2,S/F PROD.,2R-1560,SMALL,1120
2026,7,2SFR-1650X9HHSD481MT(S),1120,52038,6804,2,S/F PROD.,2R-1650,SMALL,1120
2026,2,1SF-626ZZSD25TP93,09F7,99954,6810,1,R/W SORTING,1-626,SMALL,Unknown
2026,2,1SFR-4X3HHS2TP93,09F7,52131,6850,1,R/W SORTING,1R-4X3,SMALL,Unknown
2026,1,1R-1350X3ZZSD273CVAT(SA),1120,96334,6853,1,S/F PROD.,1R-1350,SMALL,1120
2026,5,2SF-608XZZ-N(TA),1120,259470,6870,2,S/F PROD.,2-608,SMALL,1120
2026,5,2SF-608XZZSD48AT-NTP93,1120,57900,6870,2,S/F PROD.,2-608,SMALL,1120
2026,5,2SF-608ZZ(SPC),1120,196890,6870,2,S/F PROD.,2-608,SMALL,1120
2026,3,1SF-629X2ZZCFRTP93(D),260,2220704,6882,1,ROUGH GRINDING,1-629,MIDDLE,260
2026,3,1SFLNR-1680XHHS2TP93,071R,49234,6888,1,HEAT TREATMENT RED BOX,1L-1680,SMALL,Unknown
2026,1,2SFR-1350X3ZZATTP93(S),1120,732670,6929,2,S/F PROD.,2R-1350,SMALL,1120
2026,3,1AS-1854E01,09F7,458196,6958,1,R/W SORTING,1AS-1854,SMALL,Unknown
2026,4,1SFR-1560X2HHMTTP93(HSG),1120,411628,6965,1,S/F PROD.,1R-1560,SMALL,1120
2026,3,1SF-608X7ZZSD87S2TP93,230,3708900,6966,1,ROUGH SIDE LAP B,1-608,SMALL,Unknown
2026,7,1R-1350X3ZZSD273CVAT(SA),1120,86183,6977,1,S/F PROD.,1R-1350,SMALL,1120
2026,2,1SF-608ZZSD25S2TP93(SPC),1120,267173,6983,1,S/F PROD.,1-608,SMALL,1120
2026,5,2SF-608XZZ-N(SPC),1120,190641,6990,2,S/F PROD.,2-608,SMALL,1120
2026,5,1HCR-2210X3HH(SPC),1120,483372,6996,1,S/F PROD.,1R-2210,SMALL,1120
2026,6,1SFLNR-1680XHHS2,557,216673,7000,1,SORTING AFTER CHECKER TN,1L-1680,SMALL,Unknown
